id,licenseNumber,operationType,establishmentType,entityName,squareFootage,dbaName,streetNumber,nysMunicipalBoundaries
00000000-0000-0000-7EAA-3F2CDCE61292,720359,Store,A,GENERAL NUTRITION CORP,2000,GENERAL NUTRITION 6306,432,894
00000000-0000-0000-2D9F-00A9D52D3824,704954,Store,JAC,NORTH 3RD CORP,15000,BROOKLYN HARVEST MARKET,25,894
00000000-0000-0000-BD1A-92ACD3D9B364,550003,Store,JACO,WHITE HILL ORCHARDS INC,10000,WILKENS FRUIT&FIR FARM,1335,947
00000000-0000-0000-B36B-B7F7EEB1239A,746622,Store,A,WILLIAMSBURG NATURAL FOOD & VITAM,600,WILLIAMSBURG NATURAL FO,382,894
00000000-0000-0000-DBDA-4291A3DC2B40,095416,Store,JABC,SAMS EAST INC,150000,SAMS CLUB 6456,7,3
00000000-0000-0000-8F4D-2AFE0ACD77CC,721416,Store,JAC,CARNICERIA LA PALMA&MINIMKT CORP,2000,CARNICERIA LA PALMA,80-30,196
00000000-0000-0000-F798-1F5F69617511,727530,Store,JAC,MY PLACE DELI GROCERY CORP,1000,MY PLACE DELI GROCERY,1526,894
00000000-0000-0000-6160-493E860FA99F,730425,Store,JACH,CHURCH AVE HOT BAGEL & DELI INC,1200,HOT BAGEL & DELI,127,894
00000000-0000-0000-0125-F6B1B7D552CA,281461,Store,JABC,FAIRVIEW FARM INC,8000,FRUIT TREE FARM,1197,62
00000000-0000-0000-A35B-F4EA8B5845F7,723341,Store,A,MAHI AMBE INC,1000,BROOKLYN BEER,9516,894
00000000-0000-0000-CB95-5652391AB05F,616872,Store,JAC,3442 FULTON ST FOOD CORP,2000,3442 FULTON ST FOOD&GRY,3442,894
00000000-0000-0000-4441-A97F5B6D50FF,753527,Store,A,CHEF KARY INC,0,CHEF KARY,109-20,196
00000000-0000-0000-C132-ED87AA29C1B6,725392,Store,JAC,SPRINGS FINEST DELI CORP,1300,SPRINGS FINEST DELI,322,749
00000000-0000-0000-A952-B22B6799682E,624523,Store,JAC,MARIBELS SWEETS INC,1800,MARIE BELLE FINE TREETS,484,749
00000000-0000-0000-258A-6945850D0D0A,283168,Store,A,CVS ALBANY LLC,5000,CVS/PHARMACY  1952,17,60
00000000-0000-0000-C1DA-FDB185EA2B43,744110,Store,JAC,WING FUNG 2019 INC,1500,WING FUNG,6608,894
00000000-0000-0000-312B-5744AF6D3F57,130300,Store,JAC,ROUTE 9 STATION INC,2000,MAIN STREET DELI&GROCRY,390,601
00000000-0000-0000-3546-0D5B975C091F,671875,Store,JAC,105 EZ SHOP INC,500,105 EZ SHOP,105-06,196
00000000-0000-0000-6C77-DD459F0D20A5,719176,Store,A,M A ROYAL DELI FOOD CORP,950,M A ROYAL DELI FOOD,103,307
00000000-0000-0000-BEFB-8924E47C5BF1,745718,Store,JAC,BOLLA OPERATING LI CORP,2800,BOLLA 251 JERICHO C-STO,251,59
00000000-0000-0000-F52B-B0F413572C9D,750194,Store,JAC,FINE DELI AND GROCERY CORP,0,FINE DELI AND GROCERY,894,894
00000000-0000-0000-F7F2-0DE43B9762D8,753780,Store,JAC,MR SULIS GOURMET DELI CORP,0,MR SULIS GOURMET DELI,2001,749
00000000-0000-0000-1B1C-9B9AF6AC9209,735669,Store,JAC,NEW CITY MARKET INC,2000,NEW CITY MARKET,1069,300
00000000-0000-0000-AE5C-3E04EC1699E4,613005,Store,JAC,B&F MARKET INC,10000,MET FOOD,1205-1215,894
00000000-0000-0000-B20A-69C1A0CC3404,637529,Store,JAC,FT 4620 FOOD CORP,7000,KEY FOOD 1454,46-20,196
00000000-0000-0000-B634-6AA2FA728DB3,730132,Store,JAC,BURNSIDE FINEST DELI INC,800,BURNSIDE FINEST DELI,6,307
00000000-0000-0000-849D-6BAD21DDAF8D,736995,Store,JAC,JAR DELI MARKET CORP,0,JAR DELI MARKET,501,749
00000000-0000-0000-AEDD-B7C4E1F5F1D8,380430,Store,JAC,ALSHOGA AHMED & ABDULGHANI ALSADI,2000,ONE STOP,29,110
00000000-0000-0000-4ABE-2C9F854425F1,754002,Store,A,AYRA CONVENIENCE INC,2500,GRAB N GO MINI MART,428,709
00000000-0000-0000-52FB-49C3B6472AED,710603,Store,A,DOLGEN NEW YORK LLC,5000,DOLLAR GENERAL 14466,9070,985
00000000-0000-0000-F542-B7FDEDE9523D,752477,Store,JAC,BEARS FRUIT LLC,2000,BEARS FRUIT,103,894
00000000-0000-0000-4CEA-981AD6EB158B,140125,Store,JAC,3652 SHERIDAN DR INC,1000,UNIVERSITY MOBIL,3652,304
00000000-0000-0000-2B19-283AC7D06D33,606704,Store,JAC,LR 80 DELI & GROCERY INC,850,L.R. 80 DELI & GROCERY,80,307
00000000-0000-0000-25F9-CB0058BBB5D0,557493,Store,JAC,CONTES QUALITY SEAFOOD INC,1500,CONTES SEAFOOD,448,970
00000000-0000-0000-A016-3879DA58E192,330934,Store,JAC,NEWBURGH FOOD MART INC,0,SUNOCO A-PLUS MINI MART,32,882
00000000-0000-0000-4680-9AD710C74D0E,741346,Store,JAC,CANAM ALLIANCE CORP,0,CANAM ALLIANCE,680,687
00000000-0000-0000-1F37-1A325A88A8A7,728263,Store,A,HASKINS GARDENS LLC,0,HASKINS GARDENS,955,485
00000000-0000-0000-57C4-F96847DF7156,718013,Store,JAC,EL TROPICAL DELI GROCERY CORP,1100,EL TROPICAL DELI GROCER,3100,307
00000000-0000-0000-66F9-D69B232E4D34,755970,Store,JAC,942 E GUN HILL DELI CORP,0,942 E GUN HILL DELI,942,307
00000000-0000-0000-CD2A-A447854FCF87,746046,Store,JAC,PANCHOS BAGELS DELI CORP,1000,PANCHO'S BAGELS DELI CO,5119,894
00000000-0000-0000-BE80-A311CD14D65F,637870,Store,A,GIRONE ANTONIO,1000,MONGAL HARDWARE DISTRIB,212-44,196
00000000-0000-0000-8802-A5C824A33200,266527,Store,JAC,MAYERS CIDER MILL INC,2500,MAYERS CIDER MILL,1593,542
00000000-0000-0000-90DE-CFC4DB967F04,310693,Store,A,KPH HEALTHCARE SERVICES  INC.,1200,KINNEY DRUGS 64,7065,696
00000000-0000-0000-D04B-C1E90D7DD686,740333,Store,JAC,POLLARD JESSICA,2000,THE COUNTRY STORE,2114,670
00000000-0000-0000-DA90-182FD206F2CB,510418,Store,JAC,TARGET CORPORATION,26000,TARGET 1318,1300,408
00000000-0000-0000-1EEF-08C83816BC7F,746158,Store,JAC,NEW YORK FRUIT KING INC,3000,NEW YORK FRUIT KING,1507,894
00000000-0000-0000-19C0-4BFD3E0EFA49,616244,Store,JAC,BOGOPA ST JOHNS INC,18000,FOOD BAZAAR,1682,894
00000000-0000-0000-4770-3233E2B47457,729950,Store,JAC,TANTILLOS FARM MARKET LLC,2000,TANTILLOS FARM MARKET,730,435
00000000-0000-0000-1ACF-53B1253352A6,716736,Store,JABC,CST NEW YORK LLC,3600,CIRCLE K  7605,8709,924
